code,name,latest,change,change_ratio,volume,amount
002310,,3.16,0.29000000000000004,10.104529616724738,3228324.0,967376480.0
002109,,5.28,0.4800000000000004,10.000000000000009,778622.0,411100760.0
001258,,10.25,0.9299999999999997,9.978540772532185,753035.0,753380610.0
002082,,18.8,1.0600000000000023,5.975197294250295,194076.0,356459090.0
002423,,11.53,0.5999999999999996,5.489478499542541,689192.0,785653790.0
002207,,11.22,0.5500000000000007,5.1546391752577385,575516.0,635362970.0
001400,,146.66,6.930000000000007,4.9595648751163015,35142.0,516041890.0
001896,,14.9,0.6799999999999997,4.781997187060476,1930411.0,2815958700.0
002405,,11.18,0.5099999999999998,4.779756326148076,2360185.0,2635288200.0
002384,,111.72,4.340000000000003,4.041720990873537,827166.0,9174257900.0
002368,,21.08,0.7299999999999969,3.587223587223572,203584.0,426130540.0
001286,,11.52,0.3699999999999992,3.318385650224208,499907.0,573232690.0
001333,,26.4,0.7699999999999996,3.0042918454935608,30128.0,79126126.0
002221,,9.34,0.2699999999999996,2.9768467475192897,722224.0,674460770.0
002123,,11.11,0.3200000000000003,2.9657089898053783,380625.0,423887270.0
002267,,8.13,0.22000000000000064,2.781289506953232,350960.0,283711900.0
002063,,7.19,0.1900000000000004,2.7142857142857197,1639440.0,1179959410.0
001207,,30.03,0.7600000000000016,2.596515203279814,110024.0,325427410.0
001299,,13.93,0.33999999999999986,2.5018395879323023,83183.0,115314804.0
002322,,14.43,0.29999999999999893,2.123142250530778,171360.0,248300550.0
