代码,名称,板块,行业,收盘价,涨幅%,成交额(亿),换手率%,总市值(亿),流通市值(亿),市盈率,市净率,累计涨停,累计跌停,5日涨幅%,10日涨幅%,20日涨幅%,60日涨幅%,上市日期,异动类型
600722,金牛化工,主板,-,17.37,-10.0,23.27,19.13,-,-,-,-,8,2,24.07,44.99,84.79,193.91,-,放量大跌 + 跌停 + 高换手
600367,红星发展,主板,-,26.0,-9.22,18.14,21.21,-,-,-,-,2,0,14.59,4.04,39.48,69.27,-,放量大跌 + 高换手
603778,国晟科技,主板,-,22.71,-8.39,32.46,21.52,-,-,-,-,5,1,9.08,43.55,50.1,81.68,-,放量大跌 + 高换手
300164,通源石油,创业板,-,18.81,-8.15,27.37,24.39,-,-,-,-,3,0,-5.14,-23.41,60.22,242.62,-,放量大跌 + 高换手
600759,洲际油气,主板,-,6.65,-8.02,38.41,13.95,-,-,-,-,5,1,-12.04,-19.49,26.19,150.94,-,放量大跌
002165,红宝丽,主板,-,11.87,-7.19,24.01,27.93,-,-,-,-,2,0,-0.5,24.29,16.14,16.49,-,放量大跌 + 高换手
002490,山东墨龙,主板,-,11.01,-6.93,11.42,19.35,-,-,-,-,4,1,-8.33,-6.06,33.45,70.43,-,放量大跌 + 高换手
002969,嘉美包装,主板,-,27.0,-6.9,28.36,9.5,-,-,-,-,2,2,7.02,23.4,-11.24,492.11,-,放量大跌
600691,潞化科技,主板,-,4.42,-6.36,16.0,15.28,-,-,-,-,3,0,20.77,23.81,39.87,56.18,-,放量大跌 + 高换手
001203,大中矿业,主板,-,35.49,-6.06,11.8,2.49,-,-,-,-,1,0,-6.61,-0.11,16.32,35.3,-,异动下跌
300189,神农种业,创业板,-,7.8,-5.91,13.36,19.37,-,-,-,-,0,0,-6.7,-16.49,5.69,15.56,-,放量大跌 + 高换手
300505,川金诺,创业板,-,35.42,-5.77,21.69,28.63,-,-,-,-,1,0,2.22,3.51,29.41,63.83,-,放量大跌 + 高换手
601218,吉鑫科技,主板,-,6.75,-5.73,14.45,21.59,-,-,-,-,1,0,11.94,21.84,24.54,32.35,-,放量大跌 + 高换手
300185,通裕重工,创业板,-,3.96,-5.71,27.03,18.55,-,-,-,-,1,0,16.81,28.99,30.69,32.89,-,放量大跌 + 高换手
600227,赤天化,主板,-,5.0,-5.48,20.49,31.78,-,-,-,-,7,0,23.46,56.25,93.05,83.15,-,放量大跌 + 高换手
600595,中孚实业,主板,-,7.61,-5.35,10.22,3.35,-,-,-,-,0,0,-11.72,-16.37,-8.31,0.66,-,破位
002734,利民股份,主板,-,20.61,-5.33,11.31,12.79,-,-,-,-,1,0,-4.89,0.24,4.89,31.86,-,放量大跌
300569,天能重工,创业板,-,7.64,-5.09,12.04,15.33,-,-,-,-,0,0,9.61,20.7,22.63,30.6,-,放量大跌 + 高换手
002150,正泰电源,主板,-,33.1,-5.08,15.13,12.74,-,-,-,-,6,1,11.52,108.44,154.81,177.68,-,放量大跌
603248,锡华科技,主板,-,32.39,-5.07,15.49,65.78,-,-,-,-,3,0,33.4,43.76,41.13,0.0,-,放量大跌 + 高换手
